_id,작성자,별점 점수,리뷰내용
658a9836c41002f5926ed0be,킹갓진인,1.5,온갖 거 다 짬뽕에 나올 때마다 더 촌스러워지는 슬로우모션의 향연.
658a9836c41002f5926ed0bf,sponeKBG,1.5,잭스나형...이제 진짜 연출 능력이 없는거 같아. 특히 CG가 많이 필요한 장르는 더더욱하지마
658a9837c41002f5926ed0c0,그냥 영화가 좋은 사람,2.5,"등장인물 간의 합이 전혀 맞지 않는다, 몇몇은 안 나와도 이상하지 않을 정도"
658a9837c41002f5926ed0c1,카라멜 된장찌계,3.0,호들갑은... 그냥 볼 만하구만.
658a9837c41002f5926ed0c2,코닥쿠,2.5,처음이 어렵다지만 이건 너무 엉성하다.
658a9837c41002f5926ed0c3,Hun,3.5,스타워즈 느낌인데 그걸 안본 나에겐 우주판 반지원정대.\n소피아부텔라는 액션연기만 봐왔는데 감정연기 하는건 꽤나 생소.\n시작하면 일단 채피의 친구가 나오고…\n타노스와 가모라의 설정.\n드래곤 길들이기 또는 아바타의 오마쥬(?)\n삿갓쓴 배두나 배우님은 좋은데 액션은 아쉽\n멤바들을 어려울거 없이 하나둘씩 모아가는 재미는 원피스같네. 반대로 얘기하면 영화가 너무 단순한 스토리라인이라는건데…파트2는 조금 더 완성도를 높여주시길\n걔중에 스나이더식 비쥬얼은 굿
658a9837c41002f5926ed0c4,Jay,0.5,7인의 사무라이 그만 좀 우려먹어라\n진짜 슬로우모션 금지 제발 금지
658a9837c41002f5926ed0c5,양기자 (YCU),2.5,조지 루카스를 꿈꾼 잭 스나이더의 야망이 바사삭.
658a9837c41002f5926ed0c6,최지웅,2.5,7인의 사무라이 틀을 못벗어난 또하나의 작품인가?\n왠지 전종서와 김성오가 나온것같은 너낌적인 느낌.\n\n아..잭형의 슬로우병. ㅋㅋㅋㅋ\n땅에 씨 뿌리는것도 슬로우를 거시네.\n강냉이 슬로우 하나 볼만했다. ㅎㅎ
658a9837c41002f5926ed0c7,이상호,4.0,가끔 다른이 리뷰들이 독이되서 안보게되는것들이 있는데 편견없이 보라\n영상미 훌륭하고 내용은 전혀 특별할게 없으나\n심플하고 직설적이다
